nct,interv,int_type,intervn,cnt1_int,cnt2_int_type
NCT00001984,Drug: Alemtuzumab and DSG,Drug, Alemtuzumab and DSG,1,1
NCT00002766,Biological: dactinomycin,Biological, dactinomycin,15,2
NCT00002766,Biological: sargramostim,Biological, sargramostim,15,2
NCT00002766,Drug: carmustine,Drug, carmustine,15,12
NCT00002766,Drug: cyclophosphamide,Drug, cyclophosphamide,15,12
NCT00002766,Drug: cytarabine,Drug, cytarabine,15,12
NCT00002766,Drug: daunorubicin hydrochloride,Drug, daunorubicin hydrochloride,15,12
NCT00002766,Drug: doxorubicin hydrochloride,Drug, doxorubicin hydrochloride,15,12
NCT00002766,Drug: etoposide,Drug, etoposide,15,12
NCT00002766,Drug: mercaptopurine,Drug, mercaptopurine,15,12
NCT00002766,Drug: methotrexate,Drug, methotrexate,15,12
NCT00002766,Drug: mitoxantrone hydrochloride,Drug, mitoxantrone hydrochloride,15,12
NCT00002766,Drug: pegaspargase,Drug, pegaspargase,15,12
NCT00002766,Drug: prednisone,Drug, prednisone,15,12
NCT00002766,Drug: vincristine sulfate,Drug, vincristine sulfate,15,12
NCT00002766,Radiation: radiation therapy,Radiation, radiation therapy,15,1
NCT00002850,Drug: ciprofloxacin,Drug, ciprofloxacin,3,3
NCT00002850,Drug: ofloxacin,Drug, ofloxacin,3,3
NCT00002850,Drug: 160 mg trimethoprim and 800 mg sulfamethoxazole,Drug, 160 mg trimethoprim and 800 mg sulfamethoxazole,3,3
NCT00002975,Drug: aminolevulinic acid,Drug, aminolevulinic acid,1,1
NCT00003298,Drug: cisplatin,Drug, cisplatin,6,4
NCT00003298,Drug: fluorouracil,Drug, fluorouracil,6,4
NCT00003298,Drug: leucovorin calcium,Drug, leucovorin calcium,6,4
NCT00003298,Drug: paclitaxel,Drug, paclitaxel,6,4
NCT00003298,Procedure: surgery,Procedure, surgery,6,1
NCT00003298,Radiation: radiation therapy,Radiation, radiation therapy,6,1
NCT00003377,Drug: cisplatin,Drug, cisplatin,4,2
NCT00003377,Drug: paclitaxel,Drug, paclitaxel,4,2
NCT00003377,Radiation: brachytherapy,Radiation, brachytherapy,4,2
NCT00003377,Radiation: radiation therapy,Radiation, radiation therapy,4,2
NCT00003389,Drug: Doxorubicin,Drug, Doxorubicin,10,9
NCT00003389,Drug: Bleomycin,Drug, Bleomycin,10,9
NCT00003389,Drug: Vinblastine,Drug, Vinblastine,10,9
NCT00003389,Drug: Dacarbazine,Drug, Dacarbazine,10,9
NCT00003389,Drug: Vincristine,Drug, Vincristine,10,9
NCT00003389,Drug: Mechlorethamine,Drug, Mechlorethamine,10,9
NCT00003389,Drug: Etoposide,Drug, Etoposide,10,9
NCT00003389,Drug: Prednisone,Drug, Prednisone,10,9
NCT00003389,Drug: Cyclophosphamide,Drug, Cyclophosphamide,10,9
NCT00003389,Radiation: Radiotherapy,Radiation, Radiotherapy,10,1
NCT00003590,Drug: hydroxyurea,Drug, hydroxyurea,1,1
NCT00003631,Biological: filgrastim,Biological, filgrastim,11,1
NCT00003631,Drug: carboplatin,Drug, carboplatin,11,7
NCT00003631,Drug: carmustine,Drug, carmustine,11,7
NCT00003631,Drug: cyclophosphamide,Drug, cyclophosphamide,11,7
NCT00003631,Drug: cytarabine,Drug, cytarabine,11,7
NCT00003631,Drug: etoposide,Drug, etoposide,11,7
NCT00003631,Drug: ifosfamide,Drug, ifosfamide,11,7
NCT00003631,Drug: melphalan,Drug, melphalan,11,7
NCT00003631,Procedure: bone marrow ablation with stem cell support,Procedure, bone marrow ablation with stem cell support,11,2
NCT00003631,Procedure: peripheral blood stem cell transplantation,Procedure, peripheral blood stem cell transplantation,11,2
NCT00003631,Radiation: radiation therapy,Radiation, radiation therapy,11,1
NCT00003659,Biological: filgrastim,Biological, filgrastim,4,2
NCT00003659,Biological: rituximab,Biological, rituximab,4,2
NCT00003659,Drug: cyclophosphamide,Drug, cyclophosphamide,4,2
NCT00003659,Drug: fludarabine phosphate,Drug, fludarabine phosphate,4,2
NCT00003782,Drug: cyclophosphamide,Drug, cyclophosphamide,3,3
NCT00003782,Drug: docetaxel,Drug, docetaxel,3,3
NCT00003782,Drug: doxorubicin,Drug, doxorubicin,3,3
NCT00003869,Drug: carboxyamidotriazole,Drug, carboxyamidotriazole,4,1
NCT00003869,Other: placebo,Other, placebo,4,2
NCT00003869,Procedure: quality-of-life assessment,Procedure, quality-of-life assessment,4,1
NCT00003869,Other: laboratory biomarker analysis,Other, laboratory biomarker analysis,4,2
NCT00003896,Drug: cisplatin,Drug, cisplatin,3,3
NCT00003896,Drug: liposomal doxorubicin,Drug, liposomal doxorubicin,3,3
NCT00003896,Drug: paclitaxel,Drug, paclitaxel,3,3
NCT00003907,Drug: cisplatin,Drug, cisplatin,4,3
NCT00003907,Drug: doxorubicin,Drug, doxorubicin,4,3
NCT00003907,Drug: mitomycin,Drug, mitomycin,4,3
NCT00003907,Procedure: embolization,Procedure, embolization,4,1
NCT00003910,Drug: Cyclophosphamide,Drug, Cyclophosphamide,3,3
NCT00003910,Drug: Methotrexate,Drug, Methotrexate,3,3
NCT00003910,Drug: Prednisone,Drug, Prednisone,3,3
NCT00004054,Drug: bicalutamide,Drug, bicalutamide,8,7
NCT00004054,Drug: estramustine phosphate sodium,Drug, estramustine phosphate sodium,8,7
NCT00004054,Drug: etoposide,Drug, etoposide,8,7
NCT00004054,Drug: flutamide,Drug, flutamide,8,7
NCT00004054,Drug: paclitaxel,Drug, paclitaxel,8,7
NCT00004054,Drug: Luteinizing hormone releasing hormone [LHRH] agonist,Drug, Luteinizing hormone releasing hormone [LHRH] agonist,8,7
NCT00004054,Radiation: Radiation therapy,Radiation, Radiation therapy,8,1
NCT00004054,Drug: warfarin,Drug, warfarin,8,7
NCT00004092,Biological: filgrastim,Biological, filgrastim,7,1
NCT00004092,Drug: carboplatin,Drug, carboplatin,7,5
NCT00004092,Drug: cyclophosphamide,Drug, cyclophosphamide,7,5
NCT00004092,Drug: doxorubicin hydrochloride,Drug, doxorubicin hydrochloride,7,5
NCT00004092,Drug: paclitaxel,Drug, paclitaxel,7,5
NCT00004092,Drug: thiotepa,Drug, thiotepa,7,5
NCT00004092,Procedure: peripheral blood stem cell transplantation,Procedure, peripheral blood stem cell transplantation,7,1
NCT00004143,"Drug: Campath, Chemo and/or TBI Allo SCT",Drug," Campath, Chemo and/or TBI Allo SCT",1,1
NCT00004146,Radiation: radiation therapy,Radiation, radiation therapy,3,1
NCT00004146,Drug: carboxyamidotriazole,Drug, carboxyamidotriazole,3,1
NCT00004146,Other: pharmacological study,Other, pharmacological study,3,1
NCT00004228,Drug: asparaginase,Drug, asparaginase,13,12
NCT00004228,Drug: cyclophosphamide,Drug, cyclophosphamide,13,12
NCT00004228,Drug: cytarabine,Drug, cytarabine,13,12
NCT00004228,Drug: daunorubicin hydrochloride,Drug, daunorubicin hydrochloride,13,12
NCT00004228,Drug: dexamethasone,Drug, dexamethasone,13,12
NCT00004228,Drug: doxorubicin hydrochloride,Drug, doxorubicin hydrochloride,13,12
NCT00004228,Drug: leucovorin calcium,Drug, leucovorin calcium,13,12
NCT00004228,Drug: mercaptopurine,Drug, mercaptopurine,13,12
NCT00004228,Drug: methotrexate,Drug, methotrexate,13,12
NCT00004228,Drug: prednisone,Drug, prednisone,13,12
NCT00004228,Drug: thioguanine,Drug, thioguanine,13,12
NCT00004228,Drug: vincristine sulfate,Drug, vincristine sulfate,13,12
NCT00004228,Radiation: radiation therapy,Radiation, radiation therapy,13,1
NCT00004412,Drug: Arginine Butyrate,Drug, Arginine Butyrate,2,1
NCT00004412,Other: Standard local care dressing,Other, Standard local care dressing,2,1
NCT00004500,Drug: Lucinactant,Drug, Lucinactant,2,1
NCT00004500,Other: Standard Care,Other, Standard Care,2,1
NCT00004547,Procedure: Surgery,Procedure, Surgery,3,2
NCT00004547,Procedure: Continuous hyperthermic peritoneal perfusion (CHPP) with Cisplatin,Procedure, Continuous hyperthermic peritoneal perfusion (CHPP) with Cisplatin,3,2
NCT00004547,Drug: Postoperative dwell with paclitaxel and 5-FU,Drug, Postoperative dwell with paclitaxel and 5-FU,3,1
NCT00004562,Drug: Beta adrenergic blockers,Drug, Beta adrenergic blockers,4,3
NCT00004562,Drug: Platelet inhibitors,Drug, Platelet inhibitors,4,3
NCT00004562,Procedure: PTCA and stents,Procedure, PTCA and stents,4,1
NCT00004562,Drug: ACE Inhibitors,Drug, ACE Inhibitors,4,3
NCT00004563,Drug: Cyclophosphamide,Drug, Cyclophosphamide,2,2
NCT00004563,Drug: Placebo,Drug, Placebo,2,2
NCT00004635,Drug: Thalidomide,Drug, Thalidomide,4,3
NCT00004635,Drug: leuprolide acetate,Drug, leuprolide acetate,4,3
NCT00004635,Drug: goserelin,Drug, goserelin,4,3
NCT00004635,Other: Placebo,Other, Placebo,4,1
NCT00004859,Drug: carboplatin,Drug, carboplatin,4,3
NCT00004859,Drug: paclitaxel,Drug, paclitaxel,4,3
NCT00004859,Drug: thalidomide,Drug, thalidomide,4,3
NCT00004859,Radiation: radiation therapy,Radiation, radiation therapy,4,1
NCT00004888,Drug: pegylated liposomal doxorubicin hydrochloride,Drug, pegylated liposomal doxorubicin hydrochloride,4,2
NCT00004888,Drug: docetaxel,Drug, docetaxel,4,2
NCT00004888,Biological: trastuzumab,Biological, trastuzumab,4,1
NCT00004888,Other: laboratory biomarker analysis,Other, laboratory biomarker analysis,4,1
NCT00004978,Drug: Recombinant interleukin-2 (rIL-2),Drug, Recombinant interleukin-2 (rIL-2),1,1
NCT00005669,Drug: Metformin HCL,Drug, Metformin HCL,2,2
NCT00005669,Drug: Placebo,Drug, Placebo,2,2
NCT00005906,Drug: Octreotide,Drug, Octreotide,1,1
NCT00005908,Drug: Docetaxel - Dose A,Drug, Docetaxel - Dose A,8,8
NCT00005908,Drug: Anastrozole,Drug, Anastrozole,8,8
NCT00005908,Drug: cyclophosphamide,Drug, cyclophosphamide,8,8
NCT00005908,Drug: Docetaxel - Dose B,Drug, Docetaxel - Dose B,8,8
NCT00005908,Drug: Doxorubicin hydrochloride,Drug, Doxorubicin hydrochloride,8,8
NCT00005908,Drug: Tamoxifen Citrate,Drug, Tamoxifen Citrate,8,8
NCT00005908,Drug: Capecitabine - Dose B,Drug, Capecitabine - Dose B,8,8
NCT00005908,Drug: Capecitabine - Dose A,Drug, Capecitabine - Dose A,8,8
NCT00005937,Drug: Antithymocyte globulin,Drug, Antithymocyte globulin,2,2
NCT00005937,Drug: Cyclosporine,Drug, Cyclosporine,2,2
NCT00006011,Drug: Doxorubicin Hydrochloride,Drug, Doxorubicin Hydrochloride,5,3
NCT00006011,Drug: Cisplatin,Drug, Cisplatin,5,3
NCT00006011,Biological: Filgrastim,Biological, Filgrastim,5,2
NCT00006011,Biological: Pegfilgrastim,Biological, Pegfilgrastim,5,2
NCT00006011,Drug: Paclitaxel,Drug, Paclitaxel,5,3
NCT00006156,Other: Control,Other, Control,2,1
NCT00006156,Drug: Drug: FSH,Drug, Drug: FSH,2,1
NCT00006164,Drug: Peginterferon alfa-2a + Ribavirin,Drug, Peginterferon alfa-2a + Ribavirin,2,2
NCT00006164,Drug: Peginterferon alfa-2a,Drug, Peginterferon alfa-2a,2,2
NCT00006170,Drug: Bupropion,Drug, Bupropion,1,1
NCT00006178,Drug: Sirolimus,Drug, Sirolimus,2,2
NCT00006178,Drug: Thymoglobulin,Drug, Thymoglobulin,2,2
NCT00006184,Drug: Myeloma Immunoglobulin Idiotype Vaccine,Drug, Myeloma Immunoglobulin Idiotype Vaccine,12,10
NCT00006184,Drug: Bortezomib,Drug, Bortezomib,12,10
NCT00006184,Drug: Cyclophosphamide,Drug, Cyclophosphamide,12,10
NCT00006184,Drug: Cyclosporine,Drug, Cyclosporine,12,10
NCT00006184,Drug: Doxorubicin hydrochloride,Drug, Doxorubicin hydrochloride,12,10
NCT00006184,Drug: Etoposide,Drug, Etoposide,12,10
NCT00006184,Drug: Fludarabine phosphate,Drug, Fludarabine phosphate,12,10
NCT00006184,Drug: Prednisone,Drug, Prednisone,12,10
NCT00006184,Drug: Vincristine Sulfate,Drug, Vincristine Sulfate,12,10
NCT00006184,Drug: Methotrexate,Drug, Methotrexate,12,10
NCT00006184,Biological: GMCSF (granulocyte macrophage colony stimulating factor),Biological, GMCSF (granulocyte macrophage colony stimulating factor),12,2
NCT00006184,Biological: GCSF (granulocyte colony stimulating factor),Biological, GCSF (granulocyte colony stimulating factor),12,2
NCT00006237,Biological: interleukin-2,Biological, interleukin-2,6,3
NCT00006237,Biological: filgrastim,Biological, filgrastim,6,3
NCT00006237,Biological: interferon alfa,Biological, interferon alfa,6,3
NCT00006237,Drug: cisplatin,Drug, cisplatin,6,3
NCT00006237,Drug: dacarbazine,Drug, dacarbazine,6,3
NCT00006237,Drug: vinblastine,Drug, vinblastine,6,3
NCT00006305,"Procedure: Angioplasty, Transluminal, Percutaneous Coronary, other catheter-based interventions",Procedure," Angioplasty, Transluminal, Percutaneous Coronary, other catheter-based interventions",5,2
NCT00006305,Procedure: Coronary Artery Bypass,Procedure, Coronary Artery Bypass,5,2
NCT00006305,"Drug: Biguanides, thiazolidinediones",Drug," Biguanides, thiazolidinediones",5,3
NCT00006305,"Drug: Insulin, sulfonylurea",Drug," Insulin, sulfonylurea",5,3
NCT00006305,"Drug: ACE Inhibitors, Angiotensin Receptor Blockers, Beta Blockers, Calcium Channel Blockers",Drug," ACE Inhibitors, Angiotensin Receptor Blockers, Beta Blockers, Calcium Channel Blockers",5,3
NCT00006389,Drug: bryostatin 1,Drug, bryostatin 1,3,2
NCT00006389,Drug: cisplatin,Drug, cisplatin,3,2
NCT00006389,Other: laboratory biomarker analysis,Other, laboratory biomarker analysis,3,1
NCT00006392,Drug: Vitamin E,Drug, Vitamin E,4,2
NCT00006392,Drug: Selenium,Drug, Selenium,4,2
NCT00006392,Other: Vitamin E placebo,Other, Vitamin E placebo,4,2
NCT00006392,Other: selenium placebo,Other, selenium placebo,4,2
NCT00006721,Biological: rituximab,Biological, rituximab,6,1
NCT00006721,Drug: cyclophosphamide,Drug, cyclophosphamide,6,4
NCT00006721,Drug: doxorubicin hydrochloride,Drug, doxorubicin hydrochloride,6,4
NCT00006721,Drug: prednisone,Drug, prednisone,6,4
NCT00006721,Drug: vincristine sulfate,Drug, vincristine sulfate,6,4
NCT00006721,Radiation: tositumomab and iodine I 131 tositumomab,Radiation, tositumomab and iodine I 131 tositumomab,6,1
NCT00006903,Drug: fulvestrant,Drug, fulvestrant,1,1
NCT00007345,Drug: Romidepsin,Drug, Romidepsin,1,1
NCT00007475,Procedure: Plasma exchange,Procedure, Plasma exchange,2,1
NCT00007475,Drug: Cyclophosphamide,Drug, Cyclophosphamide,2,1
NCT00008138,Drug: carboplatin,Drug, carboplatin,3,2
NCT00008138,Drug: paclitaxel,Drug, paclitaxel,3,2
NCT00008138,Procedure: debulking surgery,Procedure, debulking surgery,3,1
NCT00010257,Drug: carboplatin,Drug, carboplatin,2,2
NCT00010257,Drug: paclitaxel,Drug, paclitaxel,2,2
NCT00010439,Drug: Alendronate,Drug, Alendronate,1,1
NCT00010803,Drug: Ginkgo biloba,Drug, Ginkgo biloba,2,2
NCT00010803,Drug: Placebo,Drug, Placebo,2,2
NCT00012012,Drug: Amifostine trihydrate,Drug, Amifostine trihydrate,4,2
NCT00012012,Drug: Cisplatin,Drug, Cisplatin,4,2
NCT00012012,Radiation: Intracavitary brachytherapy,Radiation, Intracavitary brachytherapy,4,2
NCT00012012,Radiation: External beam radiation therapy,Radiation, External beam radiation therapy,4,2
NCT00013611,Drug: Proleukin,Drug, Proleukin,1,1
NCT00014495,Biological: filgrastim,Biological, filgrastim,3,1
NCT00014495,Drug: cytarabine,Drug, cytarabine,3,1
NCT00014495,Radiation: bismuth Bi213 monoclonal antibody M195,Radiation, bismuth Bi213 monoclonal antibody M195,3,1
NCT00014911,Procedure: Islet Transplantation,Procedure, Islet Transplantation,8,1
NCT00014911,Drug: Sirolimus,Drug, Sirolimus,8,7
NCT00014911,Drug: Tacrolimus,Drug, Tacrolimus,8,7
NCT00014911,Drug: Daclizumab,Drug, Daclizumab,8,7
NCT00014911,Drug: Sulfamethoxazole,Drug, Sulfamethoxazole,8,7
NCT00014911,Drug: Ganciclovir,Drug, Ganciclovir,8,7
NCT00014911,Drug: Trimethoprim,Drug, Trimethoprim,8,7
NCT00014911,Drug: Pentamidine,Drug, Pentamidine,8,7
NCT00015457,Drug: Amlodipine plus Botulinum toxin,Drug, Amlodipine plus Botulinum toxin,1,1
NCT00015847,Biological: recombinant interferon alfa,Biological, recombinant interferon alfa,2,1
NCT00015847,Drug: imatinib mesylate,Drug, imatinib mesylate,2,1
NCT00016354,Drug: benzoylphenylurea,Drug, benzoylphenylurea,1,1
NCT00016913,Drug: carboplatin,Drug, carboplatin,5,4
NCT00016913,Drug: estramustine,Drug, estramustine,5,4
NCT00016913,Drug: paclitaxel,Drug, paclitaxel,5,4
NCT00016913,Radiation: radiation therapy,Radiation, radiation therapy,5,1
NCT00016913,Drug: leuprolide or goserelin acetate,Drug, leuprolide or goserelin acetate,5,4
NCT00017563,Drug: docetaxel,Drug, docetaxel,3,2
NCT00017563,Drug: mitoxantrone hydrochloride,Drug, mitoxantrone hydrochloride,3,2
NCT00017563,Procedure: conventional surgery,Procedure, conventional surgery,3,1
NCT00018031,Drug: Peginterferon alfa-2b,Drug, Peginterferon alfa-2b,2,2
NCT00018031,Drug: Ribavirin,Drug, Ribavirin,2,2
NCT00019747,Drug: thalidomide,Drug, thalidomide,3,1
NCT00019747,Procedure: adjuvant therapy,Procedure, adjuvant therapy,3,1
NCT00019747,Other: Placebo,Other, Placebo,3,1
NCT00020722,Biological: therapeutic autologous lymphocytes,Biological, therapeutic autologous lymphocytes,5,1
NCT00020722,"Drug: Ifosfamide, carboplatin, and etoposide (ICE) regimen",Drug," Ifosfamide, carboplatin, and etoposide (ICE) regimen",5,2
NCT00020722,"Drug: Cyclophosphamide, Thiotepa, Carboplatin (CTC) or STAMP V (CTC)",Drug," Cyclophosphamide, Thiotepa, Carboplatin (CTC) or STAMP V (CTC)",5,2
NCT00020722,Procedure: Leukapheresis,Procedure, Leukapheresis,5,2
NCT00020722,Procedure: peripheral blood stem cell transplantation (PBSCT),Procedure, peripheral blood stem cell transplantation (PBSCT),5,2
NCT00021229,Drug: imatinib mesylate,Drug, imatinib mesylate,2,1
NCT00021229,Radiation: local irradiation therapy,Radiation, local irradiation therapy,2,1
NCT00021541,Drug: tipifarnib,Drug, tipifarnib,2,1
NCT00021541,Other: placebo,Other, placebo,2,1
NCT00022490,Drug: cytarabine,Drug, cytarabine,2,2
NCT00022490,Drug: imatinib mesylate,Drug, imatinib mesylate,2,2
NCT00022516,Drug: Cyclophosphamide,Drug, Cyclophosphamide,2,2
NCT00022516,Drug: Methotrexate,Drug, Methotrexate,2,2
NCT00022672,Drug: trastuzumab (Herceptin®),Drug, trastuzumab (Herceptin®),2,2
NCT00022672,Drug: anastrazole (Arimidex®),Drug, anastrazole (Arimidex®),2,2
NCT00022763,Drug: Enfuvirtide,Drug, Enfuvirtide,1,1
NCT00023309,Drug: Lamivudine and adefovir,Drug, Lamivudine and adefovir,2,2
NCT00023309,Drug: Adefovir alone,Drug, Adefovir alone,2,2
NCT00023322,Drug: Peginterferon Alpha-2a,Drug, Peginterferon Alpha-2a,1,1
NCT00023452,Drug: RPT + INH once weekly for 3 months given by DOT,Drug, RPT + INH once weekly for 3 months given by DOT,2,2
NCT00023452,Drug: Isoniazid (INH) daily for 9 months,Drug, Isoniazid (INH) daily for 9 months,2,2
NCT00023673,Drug: carboplatin,Drug, carboplatin,3,2
NCT00023673,Drug: paclitaxel,Drug, paclitaxel,3,2
NCT00023673,Radiation: three-dimensional conformal radiation therapy,Radiation, three-dimensional conformal radiation therapy,3,1
NCT00023712,Drug: bortezomib,Drug, bortezomib,3,1
NCT00023712,Other: laboratory biomarker analysis,Other, laboratory biomarker analysis,3,2
NCT00023712,Other: pharmacological study,Other, pharmacological study,3,2
NCT00023764,Drug: bortezomib,Drug, bortezomib,1,1
NCT00024102,Drug: Standard Treatment,Drug, Standard Treatment,2,2
NCT00024102,Drug: capecitabine,Drug, capecitabine,2,2
NCT00024258,Drug: arsenic trioxide,Drug, arsenic trioxide,1,1
NCT00025155,Drug: ixabepilone,Drug, ixabepilone,1,1
NCT00025506,Other: Laboratory Biomarker Analysis,Other, Laboratory Biomarker Analysis,2,1
NCT00025506,Drug: Thalidomide,Drug, Thalidomide,2,1
NCT00025662,Drug: RFT5-SMPT-dgA,Drug, RFT5-SMPT-dgA,2,2
NCT00025662,Drug: Nexell Isolex system,Drug, Nexell Isolex system,2,2
NCT00026494,Drug: temozolomide,Drug, temozolomide,2,2
NCT00026494,Drug: vinorelbine tartrate,Drug, vinorelbine tartrate,2,2
NCT00027027,Drug: rhuMAb 2C4,Drug, rhuMAb 2C4,1,1
NCT00027378,Drug: fluoxetine (Prozac),Drug, fluoxetine (Prozac),2,2
NCT00027378,Drug: Placebo plus Treatment As Usual,Drug, Placebo plus Treatment As Usual,2,2
NCT00027560,Biological: alemtuzumab,Biological, alemtuzumab,6,1
NCT00027560,Drug: cyclosporine,Drug, cyclosporine,6,3
NCT00027560,Drug: fludarabine phosphate,Drug, fludarabine phosphate,6,3
NCT00027560,Drug: melphalan,Drug, melphalan,6,3
NCT00027560,Procedure: allogeneic bone marrow transplantation,Procedure, allogeneic bone marrow transplantation,6,2
NCT00027560,Procedure: peripheral blood stem cell transplantation,Procedure, peripheral blood stem cell transplantation,6,2
NCT00028002,Drug: imatinib mesylate,Drug, imatinib mesylate,2,1
NCT00028002,Procedure: conventional surgery,Procedure, conventional surgery,2,1
NCT00028093,Drug: Peginterferon alfa-2a with Ribavirin,Drug, Peginterferon alfa-2a with Ribavirin,2,2
NCT00028093,Drug: Peginterferon alfa-2a,Drug, Peginterferon alfa-2a,2,2
NCT00028262,Drug: Cystagon,Drug, Cystagon,1,1
NCT00028769,Drug: bicalutamide,Drug, bicalutamide,8,8
NCT00028769,Drug: estramustine,Drug, estramustine,8,8
NCT00028769,Drug: etoposide,Drug, etoposide,8,8
NCT00028769,Drug: flutamide,Drug, flutamide,8,8
NCT00028769,Drug: goserelin,Drug, goserelin,8,8
NCT00028769,Drug: leuprolide,Drug, leuprolide,8,8
NCT00028769,Drug: nilutamide,Drug, nilutamide,8,8
NCT00028769,Drug: paclitaxel,Drug, paclitaxel,8,8
NCT00029107,Drug: Rituximab,Drug, Rituximab,1,1
NCT00029146,Procedure: extracranial-intracranial bypass surgery,Procedure, extracranial-intracranial bypass surgery,2,1
NCT00029146,Drug: best medical therapy,Drug, best medical therapy,2,1
NCT00030901,Drug: L-selenomethionine,Drug, L-selenomethionine,2,2
NCT00030901,Drug: L-selenomethionine placebo,Drug, L-selenomethionine placebo,2,2
NCT00030992,Drug: BMS-247550,Drug, BMS-247550,3,3
NCT00030992,Drug: Ranitidine,Drug, Ranitidine,3,3
NCT00030992,Drug: Diphenhydramine,Drug, Diphenhydramine,3,3
NCT00031447,Drug: Acyclovir,Drug, Acyclovir,2,2
NCT00031447,Drug: Placebo,Drug, Placebo,2,2
NCT00031460,Drug: Acyclovir,Drug, Acyclovir,2,2
NCT00031460,Drug: Placebo,Drug, Placebo,2,2
NCT00031486,Drug: Valacyclovir,Drug, Valacyclovir,2,2
NCT00031486,Drug: Placebo,Drug, Placebo,2,2
NCT00031551,Drug: Etanercept,Drug, Etanercept,2,2
NCT00031551,Drug: Placebo,Drug, Placebo,2,2
NCT00031694,Drug: paclitaxel,Drug, paclitaxel,2,2
NCT00031694,Drug: bryostatin 1,Drug, bryostatin 1,2,2
